证券代码,订单日期,证券名称,订单等级,订单数量,订单金额,折扣点,运输方式,2018净利润（万元）,单价,运输成本,区域,省份,产品类型,行业类别,产品名称,产品包箱,运输日期
430003.OC,2011/5/24 0:00,张子强,中级,24,126.58,0.06,火车,18.27,5.58,0.7,华东,安徽,办公用品,半导体产品与设备,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/5/25 0:00
430004.OC,2011/10/30 0:00,王仲奇,其它,8,43.29,0.09,火车,-20.69,4.98,4.86,华东,安徽,办公用品,半导体产品与设备,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/10/30 0:00
430010.OC,2009/9/20 0:00,杨子梅,中级,26,2753.1925,0.04,火车,510.49,125.99,4.2,华东,北京,技术产品,半导体产品与设备,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/9/22 0:00
1028,2009/1/5 0:00,田凤琴,高级,11,2021.147,0.01,火车,-60.39,205.99,5.99,华东,北京,技术产品,保险,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/1/7 0:00
2307,2010/6/28 0:00, 刁琳,低级,32,182.33,0.1,火车,40.85,5.98,1.49,华东,北京,办公用品,电信业务,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/6/28 0:00
3202,2012/12/23 0:00,张勇进,低级,10,554.21,0.05,火车,-105.37,53.98,5.5,华东,福建,技术产品,电信业务,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/12/27 0:00
5281,2011/11/1 0:00,艾丽,高级,14,2718.07,0.1,火车,1107.53,209.84,21.21,华东,福建,家具产品,电信业务,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2011/11/2 0:00
5446,2009/6/20 0:00,韩北平,低级,42,433.68,0.07,火车,44.1,10.98,4.8,华东,甘肃,办公用品,房地产,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/6/27 0:00
6116,2009/3/20 0:00,林纬凡,中级,6,9620.82,0.04,火车,-1759.58,1637.53,24.49,华东,甘肃,办公用品,电信业务,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2009/3/22 0:00
8450,2012/4/13 0:00,陆成,其它,24,1307,0.02,火车,428.99,54.48,0.99,华东,甘肃,办公用品,保险,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/4/15 0:00
8835,2009/10/13 0:00,张鹏华,中级,12,153.44,0.05,火车,-6.15,12.2,6.02,华东,广东,家具产品,保险,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/10/14 0:00
9127,2011/10/10 0:00,孙牡丹 ,其它,7,2039.56,0.04,空运,-329.49,279.48,35,华东,广东,办公用品,半导体产品与设备,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2011/10/12 0:00
9155,2012/8/30 0:00,张静,中级,17,518.8,0.1,火车,54.63,30.98,11.63,华东,广西,办公用品,半导体产品与设备,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/8/31 0:00
10052,2009/9/7 0:00,高云安,其它,16,95.9,0.07,火车,19.57,6.08,0.91,华东,广西,办公用品,房地产,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/9/8 0:00
10117,2010/11/16 0:00,孙大强,中级,6,64.37,0.07,空运,-6.96,8.85,5.6,华东,广西,办公用品,房地产 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/11/17 0:00
10183,2009/11/24 0:00,高瑞光,中级,48,1210.02,0.06,大卡,-279.44,25.98,14.36,华东,广西,家具产品,房地产,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/11/25 0:00
10470,2012/5/4 0:00,杨高宁,中级,35,246.98,0.1,火车,-94.78,7.38,5.21,华东,贵州,家具产品,公用事业,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/5/9 0:00
11431,2012/8/1 0:00,赵龙丽,高级,5,39.68,0.09,火车,-6.71,8.01,2.87,华东,贵州,办公用品,公用事业,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/8/3 0:00
11456,2010/4/12 0:00,周雨生,低级,15,1519.9,0.09,火车,399.37,105.34,24.49,华东,贵州,家具产品,半导体产品与设备,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2010/4/19 0:00
